,ngo_name,full_address,city,state,contact_1,contact_2,website,mail
0,1008 BHAGWAN SHRI MAHAVEER JAIN MINORITY CHARITABLE TRUST (R),ALAMATTI ROAD MUDDEBIHAL-586212,MUDDEBIHAL,KARNATAKA,Not Available,9972451202,Not Available,mbscollege1008(at)gmail[dot]com
0,A G N FOUNDATION,NO 1445 VAJRAS NO 6 SOUTH END A CROSS 28TH MAIN JAYANAGAR 9TH BLOCK,BANGALORE,KARNATAKA,Not Available,7989675617,Not Available,agnfoundation333(at)gmail[dot]com
0,A H Memorial Educational trust,"CA Site 7P 1A, PRESIDENCY SCHOOL, 2nd A Main, 3rd A, cross, East of N.G.E.F Layout, Kasturinagar, Bengaluru, Karnataka 560043",BANGALORE,KARNATAKA,080-46699333,9886700012,http://www.presidencyuniversity.in,nissar(at)presidency[dot]edu.in
0,A Hundred Hands,4 Ashley Road Off MG Road Bangalore 560025,bangalore,KARNATAKA,Not Available,9845008482,http://www.ahundredhands.com,a100hands(at)gmail[dot]com
0,A ONE EDUCATIONAL WELFARE TRUST,"No: 117, 6th Main Road, 6th Cross, Near Quba Masjid, Yarab Nagar, Banashankari, Bangalore560070",BANGALORE,KARNATAKA,Not Available,9632637803,Not Available,nnaziyara(at)gmail[dot]com
0,A Plus Institute,"Plot no. 104 ,105 Inderdas complex 2nd floor super market Gulbarga. 585101",Gulbarga,KARNATAKA,Not Available,7676922020,Not Available,arvindhiremath88[dot]ah(at)gmail.com
0,A Shama Rao Foundation,"13-02-116 HOTEL SRINIVAS BUILDING G.H.S. ROAD, MANGALORE",Mangalore,KARNATAKA,Not Available,9343348392,Not Available,psaithal(at)gmail[dot]com
0,A V P SEVA SANSTHE,"Aparna Building, 1st floor, Uppartkeri 1st Cross, Near New KSRTC Bus Stand, Kumta581343",KUMTA,KARNATAKA,Not Available,9449655191,Not Available,avpkumtacpf(at)gmail[dot]com
0,A Z SILK INDUSTRIAL ASSOCIATION,JAMALSABPALYA villege.KEMPASANDRA post. MAGADI taluq. RAMANAGARA dist.562120,magadi,KARNATAKA,Not Available,9448860084,Not Available,azsilkindustrial18(at)gmail[dot]com
0,AABHARI TRUST,"No.61, Bhavani Nagar, DB Kallu Channanayakana Palya, Nagasandra Post Bengaluru560073",Bengaluru,KARNATAKA,Not Available,9986782712,Not Available,subramanya73(at)gmail[dot]com
0,AADHAR EDUCATION AND RURAL DEVELOPMENT SOCIETY,H NO 5-9-81/1(19) BEHIND APMC YARDBHALKI DIST BIDAR,BHALKI,KARNATAKA,Not Available,7892695893,Not Available,aadharerds(at)gmail[dot]com
0,Aadhar Foundation Bedkihal,"TMC Plot no.2512/1118, Gandhi Market Shetty Galli , Chikodi -591201",Chikodi,KARNATAKA,Not Available,7349763297,http://drugrehabcentre.co.in/,chikodiaadharcentre(at)gmail[dot]com
0,AADISHAKTHI SOCIAL DEVELOPMENT MAHILA MANDAL,R/O. MIG- 2-5 KHB COLONY BHALKI TQ. BHALKI DIST. BIDAR585328,BHALKI,KARNATAKA,Not Available,9972901535,Not Available,rathodasha641(at)gmail[dot]com
0,aafoundation for community development,186 4 I a main 3rd a cross gururajalayout doddanekkundi bengaluru 560037,bengaluru,KARNATAKA,080-41266374,9343851618,http://aafoundation.in,aafoundation2012(at)yahoo[dot]com
0,AAHWAHAN FOUNDATION,"No.40, South End Main Road, Jayanagar 9th Block, Bangalore-560069",BANGALORE,KARNATAKA,Not Available,9113018004,Not Available,info(at)aahwahan[dot]com
0,AALA HAZRAT EDUCATIONAL AND CHARITABLE TRUST,"H. No- 3-3-35, Noor Khan Taleem, Dist.- Bidar- 585401,Karnataka.",Bidar,KARNATAKA,Not Available,8050427824,Not Available,ahectbdr0809(at)gmail[dot]com
0,AAPATHABANDHAVA,"1451A, NAIKAR ONI, HEBBALLI",HEBBALLI,KARNATAKA,Not Available,9972024653,Not Available,aapathbandhavango(at)gmail[dot]com
0,Aapyam Ayurveda Foundation,"Pragathinagar, Jog Road, NH 206, Sagar-577401,Shimoga, Karnataka",SAGARA,KARNATAKA,Not Available,9980375322,http://aapyamayurveda.com,aapyamayurvedafoundation(at)gmail[dot]com
0,AARAV INSTITUTE FOR MANAGEMENT SERVICES PRIVATE LIMITED,"22, 8th Main, 3rd Cross, Saraswathipuram, Mysore570009",Mysore,KARNATAKA,Not Available,8105463226,http://www.aimsconsultants.in,chays[dot]hn(at)gmail.com
0,AAROCARE,"Old No.2, New No.109/1 10th Main, Opp. Madhavan ParkJayanagar 3rd Block, Bangalore",BANGALORE,KARNATAKA,Not Available,9945106676,http://aarocare.org,drpramods(at)gmail[dot]com
0,AARTHI VIKAS MAHILA SAMITHI,"PLOT NO 24, SACHIN NILAYA , BEHIND KARNATAKA COLLEGE ,CHANNABASAVA NAGAR , BIDAR KARNATAKA -585401",BIDAR,KARNATAKA,Not Available,9663938281,Not Available,kaveriswamy(at)gmail[dot]com
0,AARUSH GRAMEENA And RURAL SOCIETY,AARUSH GRMEENA,KALABURGI,KARNATAKA,Not Available,9986295066,Not Available,rameshshikari85(at)gmail[dot]com
0,AASHIANAA ANINSTITUTE FOR SPECIAL CHILDREN,520 MAHADEVAPURA EXTENSION UDAYAGIRI MYSORE,MYSORE,KARNATAKA,Not Available,9448271109,Not Available,aashianaa6(at)gmail[dot]com
0,AASHNA FOUNDATION,AASHNA FOUNDATION 134 BHANDIWAD BASE PHATTER PHOD STREET,HUBLI,KARNATAKA,0836-4250474,9449127897,http://www.aashnafoundation.org,aashna_hubli(at)yahoo[dot]in
0,Aashrita Charitable Trust,Aashrita Charitable Trust(R) Anakanur Gate DC Office(Siddlagatta ) Road Chikkaballapur Pin 562101,Chikkaballapur,KARNATAKA,080-49555855,9900093399,Not Available,aashritacbpur(at)gmail[dot]com
0,Aashwasan Foundation,No.50Usyayana 2nd Cross Kasturi Nagar Bangalore560043,Bangalore,KARNATAKA,Not Available,8861186730,Not Available,vindyab(at)aashwasan[dot]com
0,Aatmalaya Academy of Art and Culture Trust,"98/6, Krishnageet Aparments, 2nd Main, Seshadripuram",Bangalore,KARNATAKA,080-23343393,919448068,http://www.drpadmaja.net,aatmalaya2002(at)gmail[dot]com
0,aavi rural and urban development organisation,"Aavi rural and urban development organization (ARUDO) Kodur Post, 577 418 Hosanagar -Taluk Shimoga - Dist Karnataka -State Mobile :91 9731554955 E-mail : aavingo@gmail.com",Hosanagar,KARNATAKA,08185-267050,9731554955,http://www.arudo.org,aavingo(at)gmail[dot]com
0,AAYAAMA,"D.no. 982, 21st main road, 2nd block, mariyappanapalya, jnanabharathi layout, Nagadevanahalli, karnataka, bangalore-560056",Banglore,KARNATAKA,080-225619,7411923864,Not Available,aayaama6(at)gmail[dot]com
0,ABAI,No 584 Second Floor 1A Main 6 Cross HSR Layout,Bangalore,KARNATAKA,Not Available,9900650139,Not Available,abai[dot]deputysecretary(at)gmail.com
0,ABALASHRAMA,"125-6, Dr. D V G Road, Basavanagudi",Bengaluru,KARNATAKA,Not Available,9483334329,Not Available,abalashrama(at)yahoo[dot]com
0,ABHAYA DHAMA HIV SONKITHARA BEMBALA SANGHA,"RENUKAKRUPA NILAYA, NEAR OLD SEETHARAMA KALYANA MANDIRA, 1ST CROSS, DURGIGUDI, SHIVAMOGGA",SHIVAMOGGA,KARNATAKA,Not Available,9901122625,Not Available,shimoganetwork(at)gmail[dot]com
0,ABHAYA FOUNDATION,"DOOR NO 51, VIJAYNAGAR 3RD STAGE HASSAN",HASSAN,KARNATAKA,Not Available,9513299699,http://www.abhayafoundation.com,abhayafoundation19(at)gmail[dot]com
0,ABHAYA INSTITUTE FOR AGRICULTURE And RURAL DEVELOPMENT.,"OLD R T O OFFICE,2ND CROSS, NEAR TO GOVT JUNIOR COLLEGE. VINOBHA NAGAR, SAGAR. SHIVAMOGGADIST,KARNATAKASTATE. PIN577401.",SAGAR,KARNATAKA,Not Available,9980410603,http://www.abhayadevelopment.org,krishnakvlic72(at)gmail[dot]com
0,ABHAYA KALPA FOUNDATION TRUST,69 10TH MAIN 2ND STG MARENAHALLI BINNY LAYOUT VIJAYANAGAR BENGALURU,BENGALURU,KARNATAKA,Not Available,9845006500,https://www.akftrust.org/,contact(at)akftrust[dot]org
0,ABHAYA KALPA FOUNDATION TRUST,69 10TH MAIN 2ND STG MARENAHALLI BINNY LAYOUT VIJAYANAGAR BENGALURU,BENGALURU,KARNATAKA,Not Available,8277396751,http://www.akftrust.org,contact(at)akftrust[dot]org
0,Abhigyan Imperative Movements (AIM),"No 31, Anjanadri Nilaya, Pipeline Road, T Dasarahalli ,",Bangalore,KARNATAKA,Not Available,8884314848,Not Available,kannansiva390(at)gmail[dot]com
0,ABHINANDAN EDUCATION AND RURAL DEVELOPMENT SOCIETY MASKI,"ABHINANDAN EDUCATION AND RURAL DEVELOPMENT SOCIETY MASKI-584124,RAICHUR",RAICHUR,KARNATAKA,Not Available,7795892012,Not Available,hrg[dot]maski(at)gmail.com
0,ABHINAVA ARTS CENTRE,"62, JAIN TEMPLE STREET VISVESWARAPURAM",Bengaluru,KARNATAKA,Not Available,9449316765,http://www.abhinava.dance,nirupamarajendra(at)gmail[dot]com
0,ABHINAYA BHARATHI,Dharini,Bangalore,KARNATAKA,Not Available,9448092904,Not Available,abhinayabharathitrust(at)gmail[dot]com
0,Abhinaya Ranga Kendra,"ABHINAYA RANGA KENDRA KARANATKANo:519, 12th A cross, vigneshwaranagar, Vishwaneedam Post, Sunkadakatte, Bangalore-560 091. Karnataka.",BENGALURU URBAN,KARNATAKA,mysql_prep(080-23289553),9880857321,Not Available,ashwastage(at)gmail[dot]com
0,ABHINYA ARTS CULTURAL CENTRE,"GANDHI BAZAAR, KOPPAL POST",KOPPAL,KARNATAKA,Not Available,9380155274,Not Available,abhinayaculture1980(at)gmail[dot]com
0,Abhishek Charitable Trust,"Abhishek Nethradhama, mosque complex, opposite Rajkamal theatre, Fort road, Dodballapur-561203 Bangalore rural district,",Bangalore,KARNATAKA,Not Available,9844179963,Not Available,ACT4public(at)gmail[dot]com
0,Abhivruddi Society for Social Development,"ABHYUDHAYA 2nd Cross, near TUDA Layout, Manjunathanagara, Kyathasandra Post, Tumkur-572104",Tumakuru,KARNATAKA,0816-2280404,9448370387,http://abhivruddi.com,abhivrudditumkur(at)gmail[dot]com
0,Abhiyan Foundation,"Near Laxmi Temle ,Badiger oni Hukkeri,Karnataka-591309",Hukkeri,KARNATAKA,Not Available,9739968754,http://abhiyanfoundation.org/,abhiyanbgm(at)gmail[dot]com
